Vocab,English,Reading
島,Island,しま
全体（の）,Whole/Entirety,ぜんたい（の）
～分の～,Percent,～ぶんの～
平和,Peace/Harmony,へいわ
差,Difference/Variation,さ
人々,Each Person/People,ひとびと
楽しむ,to enjoy oneself,たのしむ
名所,Famous Place,めいしょ
最も,Most/Estremely,もっとも
美しい,Beautiful,うつくしい
残る,to remain/ to be left,のこる
建物,Building,たてもの
形,Form/Shape/Figure,かたち
目的,Purpose/Goal/Aim,もくてき
特に,Particularly/Especially,とくに
市,City,し
見学,Inspection/ Study by observation,けんがく
昔話,Old Tale/Folk Tale,むかしばなし
地方,District/Region/Area,ちほう
名物,Famous Product/ Specialty,めいぶつ
行事,Event/Function,ぎょうじ
年,Year,とし
特別（な）,Special,とくべつ（な）
行う,to perform/ to do/ to conduct oneself,おこなう
～達,Pluralizing Suffix (esp for people and animals),~たち
気持ち,Feeling/Sensation/Mood,きもち
始め,Beginning/Start/Outset,はじめ
地理,Geography,ちり
東京,Tokyo,とうきょう
都市,Town/City/Urban,とし
北海道,Hokkaido,ほっかいどう
本州,Honshu (largest of the four main islands of Japan),ほんしゅう
四国,Shikoku (smallest of the four main islands of Japan),しこく
九州,Kyushu (southernmost of the four main islands of Japan),きゅうしゅう
都,Metropolitan/Municipal,と
道（おんよみ）,Road/Way/Buddhist Teachings,どう
府,Metropolitan prefacture of Osaka and Kyoto,ふ
県,Prefacture of Japan,けん
京都,Kyoto,きょうと
階,Story/Storey/Floor,かい
専門,Specialty/Specialty/Subject of Study,せんもん
関東,Kanto/Region Conssting of Tokyo and surrounding prefactures,かんとう
関西,"Kansai/Region consisiting of Osaka, Kobe, Kyoto and surrounding prefactures",かんさい
自然,Nature,しぜん
,,
実は,as a matter of fact; by the way,じつは
相手,companion; partner; company​,あいて
変える,to change; to alter; to transform,かえる
難しい,difficult; hard; troublesome,むずかしい
部分,portion; section; part​,ぶぶん
男性,"masculine gender​, man, male",だんせい
女性,"feminine gender​, woman, female",じょせい
比べる,to compare; to make a comparison​,くらべる
代わりに,instead of; for; as; in exchange for;,かわりに
感じ,feeling; sense; impression​,かんじ
男女,men and women; man and woman; both sexes,だんじょ
文字,letter (of alphabet); character​,もじ
最後,end; conclusion​,さいご
忙しい,busy; occupied; hectic​,いそがしい
気分,feeling; mood​,きぶん
短い,short​,みじかい
今晩,tonight; this evening​,こんばん
理由,reason; pretext; motive​,りゆう
説明,explanation; exposition​,せつめい
必要（な）,necessary; needed; essential; indispensable​,ひつよう（な）
～場合,case; situation​,～ばあい
会う,to meet; to encounter; to see​,あう
お世話になる,to receive favor (favour); to be much obliged to someone; to be indebted,おせわになる
昨日,yesterday​,きのう
明日,tomorrow,あした
皆さん,all; everyone; everybody​,みなさん
敬語,Honorific speech in Japanese,けいご
複雑（な）,complex; complicated; mixed (feelings),ふくざつ（な）
課,lesson​,か
言語,language​,げんご
例えば,for example; for instance; e.g.​,たとえば
出来る,to be able (in a position) to do; to be up to the task​,できる
落とす,to drop; to lose; to let fall;,おとす
場面,scene; setting (e.g. of novel)​,ばめん
僕,I; me​ (Male term or language),ぼく
例,instance; example; case; illustration; usage​,れい
連絡,to contact; to get in touch​,れんらく
困る,to be troubled; to be worried; to be bothered; to be embarrassed; to be stumped​,こまる
お願い,"request; wish​, please",おねがい
簡単（な）,simple; easy; uncomplicated​,かんたん（な）
論文,thesis; essay; treatise; paper; article​,ろんぶん
誰,who​,だれ
課長,section manager; section chief​,かちょう
会議,meeting; conference; session,かいぎ
-過ぎ,"past; after​, too much",-すぎ
無理（な）,"unreasonable; unnatural; unjustifiable​, forced, excessive",むり（な）
